,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
0,22.3,22.95,0.03,61.0,1.706484641638225,0.95,0.5,10.2,0.38,8.0,1,cooler,4.0
1,23.0,24.13428571428572,0.08,59.0,1.1092150170648465,1.07,0.4,8.4,0.4,8.4,0,cooler,2.0
2,22.0,22.091428571428573,0.04,61.0,1.2116040955631395,0.88,-0.07,5.1,-0.07,5.1,1,no change,5.0
3,23.2,24.33030303030303,0.03,58.0,1.7747440273037542,0.59,0.31,7.0,0.14,5.4,1,no change,5.0
4,22.2,23.077142857142857,0.15,62.0,1.484641638225256,0.8300000000000001,0.05,5.0,-0.06,5.1,1,no change,5.0
5,21.2,21.04015151515152,0.15,65.0,1.501706484641638,0.6599999999999999,-0.56,11.6,-0.62,13.0,1,warmer,5.0
7,21.4,21.75909090909091,0.03,65.0,1.331058020477816,0.71,-0.32,7.1,-0.32,7.1,1,warmer,3.0
8,21.6,22.902857142857144,0.25,63.0,1.2627986348122866,1.1,0.01,5.0,-0.08,5.1,1,no change,6.0
9,21.3,20.928571428571427,0.05,64.0,1.4675767918088738,0.6799999999999999,-0.39,8.2,-0.37,7.8,0,cooler,3.0
10,21.8,22.93,0.13,57.0,1.331058020477816,1.1,0.2,5.8,0.15,5.4,1,warmer,5.0
12,22.8,23.63636363636364,0.15,53.0,1.621160409556314,0.6599999999999999,0.0,5.0,-0.19,5.7,1,no change,5.0
13,23.0,23.287121212121207,0.08,46.0,1.2969283276450512,0.95,0.18,5.7,0.19,5.8,1,no change,6.0
14,24.1,23.27142857142857,0.25,32.0,1.1092150170648465,1.05,0.06,5.1,-0.04,5.0,0,cooler,2.0
15,22.4,22.448571428571427,0.0899999999999999,36.0,1.1092150170648465,1.4199999999999997,0.37,7.9,0.37,7.9,1,no change,6.0
20,21.9,21.068571428571428,0.19,38.0,1.1092150170648465,1.1,-0.31,7.1,-0.32,7.1,1,no change,6.0
22,21.4,21.02142857142857,0.15,39.0,1.1092150170648465,1.03,-0.45,9.2,-0.41,8.4,1,no change,6.0
23,23.6,24.002857142857145,0.0899999999999999,33.0,1.0409556313993171,0.6,-0.6,12.6,-0.6,12.6,1,no change,6.0
25,24.1,23.893939393939387,0.18,34.0,1.2969283276450512,1.08,0.36,7.7,0.23,6.1,0,cooler,2.0
26,21.6,22.01857142857143,0.08,39.0,1.2627986348122866,1.1,-0.0,5.0,0.04,5.0,1,no change,3.0
27,22.6,21.9,0.13,34.0,1.0238907849829348,1.02,-0.37,7.9,-0.37,7.9,0,cooler,3.0
28,22.4,22.94848484848485,0.17,33.0,1.2969283276450512,0.93,-0.16,5.5,-0.22,6.0,1,no change,6.0
30,21.7,22.1,0.15,38.0,1.1092150170648465,1.4199999999999997,0.21,5.9,0.2,5.9,0,warmer,3.0
32,22.6,23.15142857142857,0.36,38.0,1.3993174061433449,1.1299999999999997,0.16,5.5,-0.05,5.0,1,no change,4.0
33,21.3,21.09621212121213,0.2,41.0,1.36518771331058,0.93,-0.38,8.1,-0.44,9.1,1,no change,6.0
35,20.7,20.697727272727267,0.05,49.0,1.36518771331058,0.89,-0.32,7.1,-0.26,6.4,1,warmer,5.0
38,24.1,23.31857142857143,0.12,37.0,1.1092150170648465,1.4199999999999997,0.62,13.0,0.63,13.2,1,no change,3.0
40,25.0,24.741428571428564,0.1,38.0,1.1604095563139931,0.6799999999999999,0.08,5.1,0.15,5.4,1,no change,3.0
42,20.0,21.04428571428572,0.03,51.0,1.1092150170648465,1.1,-0.26,6.4,-0.26,6.4,1,no change,6.0
45,24.2,24.18428571428572,0.07,42.0,1.1092150170648465,0.97,0.35,7.5,0.35,7.5,1,no change,6.0
46,24.4,24.35571428571428,0.12,42.0,1.348122866894198,0.82,0.27,6.5,0.19,5.7,1,no change,5.0
50,21.8,21.32424242424243,0.03,48.0,1.962457337883959,1.07,0.58,12.0,0.35,7.6,1,no change,5.0
51,22.6,22.90571428571428,0.24,45.0,1.0580204778156996,1.1,-0.15,5.4,-0.18,5.7,1,no change,6.0
52,23.4,22.946212121212124,0.16,29.0,1.2286689419795225,0.95,-0.08,5.1,-0.12,5.3,1,cooler,5.0
54,23.4,23.46,0.13,25.0,1.1092150170648465,1.08,0.08,5.1,0.11,5.2,0,warmer,1.0
55,23.4,24.1378787878788,0.14,25.0,1.5870307167235491,0.6,-0.13,5.3,-0.3,6.9,1,no change,4.0
56,23.0,23.205714285714283,0.2,24.0,1.1433447098976108,0.8300000000000001,-0.44,9.0,-0.45,9.2,1,no change,6.0
58,24.1,24.512121212121208,0.26,21.0,1.2627986348122866,0.93,0.04,5.0,-0.11,5.3,1,no change,6.0
59,23.0,23.08106060606061,0.06,37.0,1.4505119453924913,0.88,0.18,5.6,0.14,5.4,0,cooler,3.0
60,23.1,23.13030303030303,0.07,37.0,1.706484641638225,1.23,0.71,15.6,0.53,10.8,1,no change,6.0
61,23.1,22.67714285714285,0.02,37.0,1.1092150170648465,1.07,0.18,5.7,0.18,5.7,1,no change,6.0
