,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
104,27.6,26.77727272727273,0.38,28.0,1.36518771331058,0.6,0.48,9.8,0.06,5.1,0,cooler,3.0
356,25.9,25.21857142857143,0.37,59.0,1.348122866894198,0.62,0.2,5.8,-0.08,5.1,1,no change,5.0
358,25.9,25.88257575757576,0.2800000000000001,59.0,1.36518771331058,0.9,0.75,16.8,0.47,9.7,0,cooler,2.0
441,26.4,28.170000000000005,0.12,45.0,1.2116040955631395,0.57,0.59,12.3,0.55,11.4,0,cooler,3.0
2073,23.98333333333332,25.371947714378926,0.6093333333333333,63.86,1.38745704467354,0.48,-0.68,14.8,-0.88,21.4,1,no change,6.0
2136,25.85666666666667,27.51296573296103,0.2903333333333333,55.760000000000005,1.396048109965636,0.4,0.1,5.2,-0.19,5.7,1,no change,5.0
2137,24.20333333333332,25.97433250998411,0.4633333333333332,63.440000000000005,1.5463917525773192,0.32,-0.66,14.1,-0.92,23.0,1,no change,5.0
2138,28.663333333333327,28.40477980087253,0.224,24.54,1.365979381443299,0.44,0.72,16.0,0.32,7.1,0,cooler,3.0
2139,27.353333333333325,30.01418477129465,0.394,27.9,1.4175257731958757,0.3299999999999999,0.35,7.6,-0.18,5.7,1,cooler,5.0
2140,28.296666666666667,29.26397550228565,0.3546666666666667,28.64,1.396048109965636,0.57,0.88,21.4,0.36,7.6,1,warmer,5.0
2143,27.21,28.398843116639984,0.1456666666666667,26.52,1.365979381443299,0.48,0.58,12.1,0.35,7.6,1,cooler,6.0
2144,27.396666666666665,28.931078835929853,0.1953333333333333,28.73,1.718213058419244,0.48,0.92,22.8,0.38,8.1,1,no change,5.0
2146,26.05,27.73186526957472,0.4916666666666667,30.19,1.2886597938144326,0.45,-0.25,6.3,-0.55,11.4,1,no change,5.0
2147,25.26,26.99996058752911,0.5193333333333333,58.970000000000006,1.718213058419244,0.38,0.06,5.1,-0.47,9.6,1,no change,5.0
2149,29.253333333333323,29.881168830371788,0.1873333333333333,28.78,1.5979381443298968,0.57,1.34,42.5,0.8,18.5,1,no change,6.0
2150,27.43,27.78516337115504,0.3226666666666667,28.010000000000005,1.3745704467353954,0.4,0.25,6.3,-0.13,5.4,1,no change,6.0
2152,26.616666666666667,29.315650414910333,0.4270000000000001,55.59,1.2457044673539517,0.53,0.44,9.1,0.08,5.1,1,cooler,4.0
2154,26.86,29.4772191280738,0.5193333333333333,29.88,1.258591065292096,0.36,-0.12,5.3,-0.51,10.5,1,no change,6.0
2155,24.55,25.729285950432487,0.5716666666666667,62.66,1.718213058419244,0.3299999999999999,-0.4,8.3,-0.82,19.2,1,cooler,5.0
2160,23.756666666666664,25.435631160519087,0.5346666666666665,61.78,1.3573883161512028,0.56,-0.51,10.5,-0.72,15.9,1,no change,4.0
6370,26.55,26.68,0.13,47.0,1.8373720136518767,0.6599999999999999,1.01,26.5,0.58,11.9,1,cooler,4.0
6794,25.04,25.37,0.6599999999999999,60.0,1.3656996587030714,0.35,-0.93,23.4,-1.08,29.6,0,cooler,1.0
6835,26.45,27.12,0.23,61.0,1.6139931740614333,0.4300000000000001,0.57,11.9,0.18,5.7,0,cooler,4.0
6837,26.78,27.26,0.1,61.0,1.4897610921501698,0.32,0.51,10.5,0.33,7.2,0,cooler,2.0
6839,25.86,26.06,0.29,64.0,1.390443686006826,0.38,-0.08,5.1,-0.3,6.8,1,cooler,5.0
44177,27.4,26.73,0.04,81.8,1.5,0.53,1.09,29.8,1.0,26.2,1,no change,6.0
44189,27.5,26.56,0.04,83.6,1.85,0.51,1.29,39.8,0.98,25.3,1,no change,4.0
44199,25.6,23.67,0.05,77.0,1.95,0.62,0.88,21.5,0.57,11.7,0,warmer,2.0
44200,27.5,26.82,0.05,84.1,1.68,0.66,1.34,42.4,1.13,32.0,1,cooler,4.0
44211,26.3,23.75,0.17,82.8,1.1,0.61,0.21,5.9,0.19,5.7,1,no change,6.0
44213,27.0,27.59,0.07,84.0,1.0,0.62,1.04,27.8,1.04,27.8,1,no change,5.0
44214,26.9,27.7,0.1,80.7,1.0,0.65,0.98,25.3,0.98,25.3,1,cooler,4.0
44215,27.1,28.07,0.05,79.8,1.2,0.76,1.37,43.7,1.37,43.7,1,cooler,5.0
44231,28.3,28.98,0.14,59.6,1.05,0.56,1.08,29.6,1.1,30.5,1,no change,5.0
44232,27.5,26.59,0.18,60.0,1.2,0.39,0.35,7.5,0.22,6.0,1,no change,6.0
44233,25.9,28.82,0.15,62.8,1.2,0.54,0.66,14.2,0.59,12.3,1,no change,5.0
44234,25.3,28.42,0.18,65.6,1.0,0.72,0.54,11.0,0.57,11.7,1,no change,5.0
44236,27.2,29.63,0.27,90.6,1.4,0.67,1.31,40.8,1.02,27.0,0,warmer,1.0
44237,27.2,28.72,0.33,91.4,1.0,0.59,0.79,18.2,0.64,13.7,1,no change,5.0
44238,28.4,28.61,0.28,86.0,1.0,0.51,0.97,24.9,0.81,18.8,1,cooler,4.0
44239,27.0,28.08,0.17,92.8,1.6,0.53,1.16,33.2,0.87,21.0,1,cooler,3.0
44240,25.2,29.26,0.23,75.9,1.18,0.57,0.56,11.5,0.43,8.8,1,no change,5.0
44241,28.3,27.18,0.19,84.7,1.25,0.59,1.13,31.7,0.93,23.3,1,no change,5.0
44243,28.7,29.88,0.14,82.6,1.33,0.42,1.41,46.1,1.21,35.6,1,no change,5.0
44244,27.7,29.75,0.1,81.0,1.33,0.42,1.22,36.3,1.12,31.7,1,no change,6.0
44245,28.7,30.07,0.09,64.6,1.1,0.42,1.33,42.0,1.33,42.0,1,no change,5.0
44247,26.3,28.77,0.36,55.4,1.6,0.57,0.77,17.3,0.26,6.4,1,no change,5.0
44248,28.5,29.78,0.53,63.4,1.25,0.39,0.74,16.6,0.21,5.9,1,no change,5.0
44249,28.6,29.31,0.44,69.3,1.05,0.43,0.71,15.5,0.35,7.5,1,cooler,5.0
44257,28.5,29.74,0.28,87.2,2.15,0.25,1.66,59.6,0.78,17.9,1,no change,5.0
44259,28.5,29.01,0.03,86.7,1.2,0.57,1.63,57.8,1.63,57.8,1,no change,5.0
44260,28.3,29.47,0.41,88.1,1.1,0.35,0.72,16.0,0.43,8.9,1,no change,5.0
44261,28.4,29.12,0.45,86.2,1.48,0.2,0.69,15.0,0.15,5.5,0,cooler,3.0
44263,27.0,29.51,0.23,76.9,1.08,0.4,0.59,12.3,0.48,9.8,1,no change,5.0
44264,28.0,31.18,0.32,83.1,1.95,0.57,1.75,64.7,1.12,31.6,1,no change,5.0
44265,27.7,28.86,0.41,83.7,1.2,0.4,0.67,14.3,0.34,7.4,1,no change,5.0
44266,27.5,29.81,0.4,79.4,1.3,0.2,0.26,6.4,-0.11,5.3,1,warmer,5.0
44267,29.1,28.86,0.47,79.2,1.8,0.38,1.43,47.4,0.66,14.1,1,no change,5.0
44268,28.4,30.54,0.23,83.0,1.15,0.68,1.62,57.4,1.42,46.4,1,cooler,4.0
44269,28.4,30.12,0.15,82.0,1.15,0.62,1.58,55.2,1.5,50.7,1,no change,5.0
