,ta,tr,vel,rh,met,clo,pmv,ppd,pmv_ce,ppd_ce,thermal_acceptability,thermal_preference,thermal_comfort
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0.0
21,21.8,21.4469696969697,0.17,38.0,1.1604095563139931,0.7899999999999999,-0.73,16.2,-0.68,14.8,1,no change,5.0
34,17.2,16.32428571428572,0.1,55.0,1.36518771331058,0.81,-1.42,46.8,-1.36,43.5,1,no change,6.0
41,16.9,16.992857142857144,0.1,57.0,1.1092150170648465,1.1,-1.14,32.4,-1.14,32.4,1,warmer,5.0
79,18.9,18.802272727272733,0.08,39.0,1.245733788395904,0.8500000000000001,-1.08,29.5,-0.98,25.2,0,cooler,3.0
113,21.8,23.81142857142857,0.22,45.0,1.1732081911262802,0.59,-0.98,25.5,-0.95,24.0,1,warmer,3.0
171,21.3,21.88142857142857,0.19,39.0,1.36518771331058,0.59,-1.02,27.0,-1.02,26.9,1,no change,4.0
172,21.1,22.05428571428572,0.15,39.0,1.267064846416382,0.6,-1.1,30.6,-1.05,28.3,0,warmer,3.0
173,21.1,22.05428571428572,0.15,39.0,1.706484641638225,0.26,-1.41,45.9,-1.48,50.0,1,no change,5.0
174,21.1,22.05428571428572,0.15,39.0,1.1262798634812288,0.74,-0.93,23.1,-0.84,19.7,1,warmer,5.0
177,21.1,21.72142857142857,0.11,39.0,1.0571672354948805,0.8500000000000001,-0.77,17.6,-0.77,17.6,0,warmer,3.0
182,21.3,22.217142857142857,0.14,36.0,1.0238907849829348,0.6799999999999999,-1.27,38.9,-1.13,31.9,0,warmer,1.0
185,23.2,24.437142857142856,0.39,32.0,1.1433447098976108,0.59,-1.04,27.8,-1.06,28.7,1,no change,4.0
187,23.2,24.437142857142856,0.39,32.0,1.1092150170648465,0.62,-1.05,28.1,-1.06,28.6,1,no change,5.0
191,20.9,21.48857142857143,0.14,41.0,1.5815699658703073,0.51,-0.91,22.3,-0.97,24.7,1,no change,6.0
194,21.8,22.12857142857143,0.14,33.0,1.032423208191126,0.7,-1.14,32.4,-1.01,26.5,1,no change,5.0
198,21.1,21.45,0.13,39.0,1.2677474402730375,0.76,-0.75,16.8,-0.7,15.3,1,no change,5.0
201,20.8,21.20285714285714,0.14,40.0,1.1916382252559723,0.82,-0.72,15.8,-0.66,14.0,1,no change,5.0
207,22.7,23.33142857142857,0.2,41.0,1.348122866894198,0.38,-1.21,35.6,-1.2,35.2,1,warmer,6.0
208,22.7,23.33142857142857,0.2,41.0,1.2798634812286689,0.4300000000000001,-1.19,34.6,-1.16,33.3,0,cooler,4.0
209,22.6,22.652857142857147,0.18,40.0,1.3225255972696244,0.4,-1.26,38.3,-1.23,36.6,1,no change,4.0
213,22.6,22.99714285714285,0.21,41.0,1.1092150170648465,0.6799999999999999,-0.84,20.0,-0.79,18.0,0,cooler,3.0
221,21.7,22.041666666666668,0.16,44.0,1.1518771331058022,0.51,-1.39,44.8,-1.29,39.7,1,no change,5.0
229,22.3,22.59772727272727,0.17,42.0,1.164675767918089,0.62,-0.88,21.4,-0.81,18.7,1,no change,5.0
235,22.0,22.17857142857144,0.16,42.0,1.1092150170648465,0.73,-0.82,19.3,-0.74,16.5,0,warmer,3.0
237,22.4,22.722857142857144,0.18,40.0,1.1092150170648465,0.4900000000000001,-1.41,46.3,-1.31,40.7,1,no change,5.0
240,22.4,22.722857142857144,0.18,40.0,1.142320819112628,0.57,-1.07,29.4,-1.0,25.9,1,no change,5.0
243,20.9,21.35714285714285,0.14,42.0,1.164675767918089,0.7899999999999999,-0.8,18.3,-0.72,15.8,1,no change,5.0
249,23.6,23.739999999999995,0.26,36.0,1.0238907849829348,0.6699999999999999,-0.93,23.2,-0.88,21.4,1,no change,5.0
250,20.5,21.232857142857146,0.18,41.0,1.2201365187713311,0.57,-1.55,53.5,-1.48,49.9,0,warmer,4.0
251,20.5,21.232857142857146,0.18,41.0,1.1569965870307166,0.73,-1.13,31.7,-1.05,28.5,0,warmer,4.0
252,21.3,21.88142857142857,0.19,39.0,1.276621160409556,0.61,-1.12,31.6,-1.09,30.2,1,no change,5.0
344,20.8,20.8,0.6599999999999999,72.0,1.1774744027303754,0.62,-1.84,69.1,-1.79,66.7,1,no change,6.0
351,22.7,23.627142857142857,0.63,67.0,1.1774744027303754,0.61,-1.1,30.5,-1.14,32.5,0,warmer,3.0
352,22.2,22.2,0.2,69.0,1.245733788395904,0.57,-0.93,23.3,-0.89,21.6,1,no change,6.0
360,22.3,23.35227272727273,0.35,65.0,1.36518771331058,0.52,-0.96,24.5,-1.02,27.0,0,cooler,5.0
362,21.9,22.5128787878788,0.27,71.0,1.3139931740614337,0.39,-1.52,52.1,-1.48,49.9,0,warmer,3.0
366,22.0,22.75428571428572,0.2,66.0,1.1774744027303754,0.52,-1.1,30.7,-1.04,27.7,0,warmer,2.0
390,21.3,21.7,0.03,31.0,1.0238907849829348,0.6799999999999999,-1.19,34.8,-1.19,34.8,0,warmer,4.0
391,21.3,21.909848484848496,0.1,34.0,1.331058020477816,0.51,-1.1,30.7,-1.04,27.8,1,warmer,5.0
392,22.2,22.27428571428572,0.05,29.0,1.0238907849829348,0.77,-0.75,17.0,-0.75,17.0,1,no change,5.0
393,21.6,21.739999999999995,0.1,31.0,1.1433447098976108,0.74,-0.77,17.4,-0.65,14.0,1,no change,5.0
401,22.9,23.21428571428572,0.0899999999999999,42.0,1.002559726962457,0.6,-0.88,21.3,-0.88,21.3,1,warmer,2.0
